M,S,1,49
L,B,28075,9928,5
C,25025
L,S,28077,9925,12
L,B,28078,9922,17
L,S,28079,9937,26
L,B,28080,9932,35
L,S,28081,9940,12
L,S,28082,9929,46
L,B,28083,9931,12
L,S,28084,9926,31
L,B,28085,9922,45
L,B,28086,9936,20
L,S,28087,9923,29
L,S,28088,9938,27
L,S,28089,9927,27
L,S,28090,9931,23
L,S,28091,9921,32
L,S,28092,9934,13
L,S,28093,9927,15
L,B,28094,9920,35
L,B,28095,9946,12
L,B,28096,9935,14
L,S,28097,9925,44
L,B,28098,9934,25
L,S,28099,9933,50
L,S,28100,9934,45
L,S,28101,9940,19
M,B,28102,8
L,B,28103,9942,39
L,S,28104,9933,22
L,B,28105,9937,30
L,S,28106,9938,11
C,26910
L,B,28108,9938,10
L,B,28109,9917,35
M,B,28110,3
L,B,28111,9946,19
L,S,28112,9939,47
L,S,28113,9929,50
L,B,28114,9931,22
L,S,28115,9940,11
L,S,28116,9929,38
M,B,28117,28
C,26074
L,B,28119,9950,2
M,S,28120,44
L,B,28121,9935,17
L,S,28122,9952,22
L,B,28123,9947,25
L,S,28124,9941,6
L,B,28125,9933,1
L,B,28126,9935,38
C,24955
C,23667
L,S,28129,9928,8
C,27010
L,S,28131,9931,34
L,B,28132,9934,37
L,B,28133,9928,3
L,S,28134,9942,18
C,24193
L,S,28136,9926,45
L,S,28137,9943,28
C,25581
C,25452
C,26581
L,S,28141,9943,18
M,B,28142,14
L,B,28143,9925,32
L,B,28144,9930,15
L,S,28145,9937,13
L,S,28146,9938,32
L,B,28147,9926,18
L,S,28148,9929,21
M,B,28149,42
L,S,28150,9935,38
C,26562
L,B,28152,9935,29
L,S,28153,9936,3
L,B,28154,9927,1
L,S,28155,9931,19
L,S,28156,9935,3
L,B,28157,9922,10
L,B,28158,9931,17
L,B,28159,9937,34
C,27209
L,S,28161,9935,24
L,S,28162,9946,17
C,27505
L,S,28164,9935,20
M,B,28165,59
L,B,28166,9933,34
M,B,28167,2
C,26466
L,B,28169,9942,14
C,26870
M,S,28171,43
M,B,28172,14
L,S,28173,9931,3
L,S,28174,9937,42
L,S,28175,9923,17
L,B,28176,9931,42
L,S,28177,9927,10
L,B,28178,9920,42
L,S,28179,9931,12
L,B,28180,9914,28
L,B,28181,9923,30
L,S,28182,9923,32
L,B,28183,9921,44
L,S,28184,9930,24
L,S,28185,9926,39
L,B,28186,9925,8
L,B,28187,9927,31
L,B,28188,9923,37
L,B,28189,9932,26
L,B,28190,9938,16
L,B,28191,9920,37
L,B,28192,9916,40
L,S,28193,9920,4
M,S,28194,17
L,S,28195,9942,15
L,B,28196,9916,12
L,B,28197,9926,15
L,B,28198,9934,34
L,B,28199,9926,10
C,24928
C,26961
L,S,28202,9904,33
L,B,28203,9914,28
L,B,28204,9918,31
L,S,28205,9929,19
L,S,28206,9933,27
L,B,28207,9921,50
L,S,28208,9926,18
L,S,28209,9933,35
L,B,28210,9918,11
L,B,28211,9923,35
L,S,28212,9928,8
L,B,28213,9922,3
C,26600
L,B,28215,9931,19
C,23661
C,24081
L,S,28218,9918,4
M,B,28219,36
L,B,28220,9925,34
L,S,28221,9929,44
L,S,28222,9932,43
L,B,28223,9929,2
L,B,28224,9936,38
L,B,28225,9917,10
L,B,28226,9933,35
M,S,28227,53
L,B,28228,9917,11
L,S,28229,9928,7
L,S,28230,9926,4
L,S,28231,9933,13
L,S,28232,9935,25
L,B,28233,9920,2
C,23430
L,B,28235,9920,31
L,B,28236,9931,26
L,S,28237,9911,49
L,B,28238,9922,1
L,B,28239,9924,30
L,S,28240,9923,5
L,B,28241,9939,47
C,27427
L,S,28243,9918,48
L,B,28244,9928,37
L,B,28245,9922,19
M,S,28246,22
L,S,28247,9933,14
L,B,28248,9925,23
L,S,28249,9937,7
L,B,28250,9942,49
L,S,28251,9920,28
L,S,28252,9934,29
L,S,28253,9931,25
L,S,28254,9934,17
L,B,28255,9920,4
L,B,28256,9932,36
L,B,28257,9932,42
L,S,28258,9930,49
L,S,28259,9922,30
L,B,28260,9923,7
C,27212
L,B,28262,9924,21
L,B,28263,9937,20
L,S,28264,9925,16
L,S,28265,9927,29
L,B,28266,9915,42
C,23681
C,25541
M,S,28269,7
L,S,28270,9918,42
L,B,28271,9922,35
L,S,28272,9921,49
C,23261
L,B,28274,9913,24
L,S,28275,9910,28
C,24869
L,B,28277,9909,18
L,B,28278,9926,38
L,S,28279,9928,33
L,B,28280,9904,28
L,S,28281,9919,44
C,27706
M,B,28283,31
L,B,28284,9912,21
L,S,28285,9915,17
L,S,28286,9922,26
L,S,28287,9922,34
M,S,28288,42
M,S,28289,6
L,S,28290,9912,11
L,B,28291,9920,46
C,25345
L,S,28293,9915,9
L,S,28294,9919,45
L,S,28295,9916,12
L,B,28296,9909,34
L,S,28297,9919,26
L,B,28298,9937,16
L,S,28299,9920,2
L,B,28300,9925,38
L,B,28301,9927,10
M,S,28302,14
L,S,28303,9926,34
L,B,28304,9909,11
L,B,28305,9920,43
L,B,28306,9922,31
L,B,28307,9913,48
L,S,28308,9929,36
L,S,28309,9919,36
C,27222
L,B,28311,9920,15
L,S,28312,9920,22
L,S,28313,9922,15
L,B,28314,9912,23
C,23971
C,24264
M,S,28317,51
L,B,28318,9926,11
L,B,28319,9934,49
L,B,28320,9916,46
C,25323
C,24872
L,S,28323,9910,19
L,S,28324,9918,35
L,S,28325,9918,35
L,S,28326,9918,9
L,B,28327,9912,34
L,B,28328,9914,18
C,26827
L,S,28330,9907,6
L,S,28331,9912,7
L,S,28332,9923,44
L,S,28333,9924,16
C,27435
L,B,28335,9920,20
L,B,28336,9911,50
L,B,28337,9898,18
L,S,28338,9910,45
C,23607
C,26898
L,S,28341,9914,16
M,B,28342,23
L,S,28343,9918,24
L,B,28344,9923,48
L,S,28345,9911,10
L,B,28346,9894,20
L,S,28347,9902,40
C,27059
L,S,28349,9909,7
L,B,28350,9907,42
L,S,28351,9906,43
L,B,28352,9924,11
L,B,28353,9918,6
L,S,28354,9914,40
C,24081
L,S,28356,9917,11
L,B,28357,9915,24
C,25851
C,23249
L,S,28360,9922,2
C,26695
L,S,28362,9916,20
M,B,28363,56
L,S,28364,9918,39
L,B,28365,9915,7
L,S,28366,9915,10
M,B,28367,59
L,S,28368,9907,32
L,S,28369,9923,45
L,B,28370,9915,45
L,B,28371,9915,17
L,B,28372,9931,39
L,B,28373,9911,22
M,B,28374,36
L,B,28375,9915,3
L,S,28376,9913,16
M,B,28377,34
M,S,28378,19
L,S,28379,9920,6
L,B,28380,9918,47
L,B,28381,9924,5
L,B,28382,9907,26
L,S,28383,9918,7
C,26586
C,23502
L,S,28386,9919,22
L,S,28387,9913,17
L,B,28388,9910,23
C,27431
L,S,28390,9918,50
L,S,28391,9917,45
C,26199
C,25220
L,B,28394,9916,24
L,B,28395,9919,1
L,B,28396,9916,15
C,25725
L,S,28398,9929,35
L,S,28399,9919,38
L,S,28400,9925,34
L,S,28401,9908,35
L,S,28402,9918,46
L,S,28403,9926,33
L,B,28404,9922,39
L,B,28405,9922,2
L,B,28406,9913,46
L,S,28407,9917,7
L,S,28408,9922,29
L,S,28409,9917,12
L,S,28410,9911,34
C,25274
L,B,28412,9925,3
L,S,28413,9927,8
L,B,28414,9917,37
M,S,28415,57
L,S,28416,9915,45
M,S,28417,10
L,S,28418,9925,14
L,S,28419,9917,37
L,S,28420,9914,6
L,S,28421,9921,24
L,B,28422,9922,14
L,B,28423,9920,21
L,S,28424,9932,10
C,23321
L,S,28426,9928,19
L,S,28427,9919,41
M,S,28428,50
L,S,28429,9914,3
L,B,28430,9927,23
C,23883
C,25486
L,S,28433,9913,26
C,25706
L,B,28435,9914,46
L,S,28436,9919,15
L,B,28437,9929,27
L,S,28438,9922,31
L,B,28439,9932,12
L,B,28440,9907,48
L,S,28441,9917,19
L,S,28442,9917,22
L,B,28443,9922,17
L,S,28444,9926,22
L,S,28445,9929,26
L,B,28446,9919,31
L,B,28447,9930,17
L,B,28448,9931,42
M,B,28449,33
C,27406
L,S,28451,9930,11
L,B,28452,9918,27
C,25334
L,B,28454,9920,6
L,B,28455,9920,10
M,S,28456,49
M,S,28457,26
L,B,28458,9919,25
L,S,28459,9924,43
L,S,28460,9922,43
C,27009
L,B,28462,9917,21
L,B,28463,9924,26
L,S,28464,9913,35
C,27740
L,S,28466,9927,4
L,B,28467,9936,13
L,S,28468,9916,12
L,S,28469,9914,8
C,28112
L,B,28471,9911,41
L,S,28472,9920,31
C,26931
L,B,28474,9923,39
L,B,28475,9924,5
M,B,28476,58
C,26033
C,26430
L,S,28479,9925,33
L,B,28480,9921,38
L,S,28481,9901,44
L,B,28482,9923,4
M,S,28483,26
L,B,28484,9929,26
L,B,28485,9927,13
M,B,28486,22
L,B,28487,9923,33
L,S,28488,9921,31
L,B,28489,9921,27
L,B,28490,9905,4
C,25143
C,26518
L,S,28493,9918,20
L,S,28494,9923,45
L,B,28495,9917,26
L,B,28496,9919,20
L,S,28497,9928,26
C,26669
C,25080
L,B,28500,9920,48
L,S,28501,9903,28
L,S,28502,9923,29
L,B,28503,9915,30
L,S,28504,9919,15
L,S,28505,9914,39
L,S,28506,9927,41
L,S,28507,9910,29
L,S,28508,9919,20
C,26739
M,B,28510,34
L,S,28511,9905,25
L,S,28512,9903,20
C,24164
L,B,28514,9903,36
M,B,28515,37
L,B,28516,9914,26
L,B,28517,9902,12
L,B,28518,9901,3
L,S,28519,9911,27
M,S,28520,37
L,S,28521,9918,16
L,S,28522,9920,47
L,S,28523,9916,2
M,S,28524,40
M,B,28525,46
L,B,28526,9918,26
L,S,28527,9908,36
L,S,28528,9915,43
L,B,28529,9929,8
L,B,28530,9922,44
L,B,28531,9915,6
L,S,28532,9914,49
L,S,28533,9929,25
L,B,28534,9921,11
L,B,28535,9926,40
L,B,28536,9930,22
L,B,28537,9922,18
L,S,28538,9931,38
L,S,28539,9911,32
L,B,28540,9929,16
L,B,28541,9925,8
L,B,28542,9913,43
L,S,28543,9915,13
L,S,28544,9910,6
L,B,28545,9918,6
L,S,28546,9924,49
L,S,28547,9915,19
L,B,28548,9916,36
M,S,28549,16
L,B,28550,9911,17
L,B,28551,9908,37
C,25270
L,S,28553,9932,46
L,B,28554,9920,23
L,B,28555,9920,6
L,S,28556,9916,34
M,B,28557,8
M,S,28558,36
L,S,28559,9916,40
L,S,28560,9908,5
M,S,28561,36
L,S,28562,9913,35
M,S,28563,3
L,B,28564,9904,43
L,B,28565,9910,27
L,B,28566,9912,19
L,B,28567,9914,45
L,B,28568,9913,33
M,B,28569,21
L,S,28570,9914,32
L,S,28571,9913,2
L,S,28572,9919,11
L,S,28573,9909,21
L,B,28574,9907,33
C,27987
L,S,28576,9903,48
C,27309
C,23920
L,S,28579,9910,44
L,B,28580,9915,10
L,S,28581,9901,39
C,24640
M,S,28583,8
L,S,28584,9911,35
M,B,28585,37
L,B,28586,9913,35
L,B,28587,9913,45
L,S,28588,9905,43
L,S,28589,9912,9
L,B,28590,9913,48
M,S,28591,5
L,S,28592,9913,42
L,B,28593,9916,42
L,S,28594,9910,8
L,S,28595,9915,18
L,B,28596,9917,6
M,B,28597,52
L,S,28598,9888,27
L,B,28599,9912,27
L,S,28600,9910,3
L,S,28601,9908,18
C,26594
L,B,28603,9906,29
C,25203
L,S,28605,9899,14
L,S,28606,9903,15
L,B,28607,9917,12
L,B,28608,9913,43
L,S,28609,9921,42
C,25083
L,B,28611,9911,47
L,S,28612,9917,22
M,B,28613,48
L,B,28614,9903,26
L,S,28615,9912,16
L,B,28616,9907,45
L,S,28617,9901,50
L,B,28618,9913,45
L,B,28619,9904,33
L,S,28620,9895,12
L,B,28621,9897,38
L,B,28622,9918,17
L,S,28623,9894,20
L,B,28624,9918,11
L,B,28625,9916,45
L,S,28626,9906,40
L,B,28627,9906,48
L,S,28628,9916,32
L,B,28629,9908,8
L,B,28630,9898,25
L,S,28631,9905,39
L,B,28632,9892,10
C,27848
L,B,28634,9909,19
L,S,28635,9898,23
C,24731
L,B,28637,9919,45
L,B,28638,9900,25
L,B,28639,9887,38
L,B,28640,9891,12
L,B,28641,9900,5
L,B,28642,9894,11
L,S,28643,9905,35
L,S,28644,9906,3
L,S,28645,9896,14
M,S,28646,18
L,B,28647,9895,48
M,S,28648,22
L,B,28649,9899,23
L,S,28650,9896,8
L,S,28651,9889,22
L,S,28652,9900,45
L,B,28653,9897,13
L,S,28654,9884,13
M,B,28655,38
L,S,28656,9903,24
C,24919
L,S,28658,9883,12
C,28221
L,B,28660,9898,46
L,S,28661,9892,45
L,B,28662,9886,37
L,S,28663,9905,1
L,S,28664,9893,5
C,24180
C,28104
L,S,28667,9906,34
L,S,28668,9889,20
L,B,28669,9902,15
C,26628
L,B,28671,9896,14
L,S,28672,9898,13
L,S,28673,9869,15
L,B,28674,9891,21
C,28256
L,S,28676,9880,34
L,S,28677,9893,38
L,S,28678,9897,49
L,B,28679,9894,43
L,B,28680,9910,25
C,27701
L,B,28682,9897,12
L,S,28683,9898,27
L,B,28684,9901,26
L,S,28685,9897,33
C,26890
L,B,28687,9900,45
L,B,28688,9882,26
L,S,28689,9900,30
C,28621
L,B,28691,9893,2
L,B,28692,9892,20
L,B,28693,9892,8
L,B,28694,9905,36
L,B,28695,9888,13
L,S,28696,9895,40
L,B,28697,9894,2
C,27432
M,B,28699,34
C,27776
L,S,28701,9899,16
L,B,28702,9894,37
L,S,28703,9883,7
L,B,28704,9892,24
C,25243
L,B,28706,9899,37
L,S,28707,9892,25
M,S,28708,13
L,B,28709,9899,42
M,B,28710,28
L,B,28711,9901,22
L,B,28712,9899,45
L,B,28713,9884,49
L,B,28714,9892,1
C,24347
C,27693
C,26244
C,26491
L,B,28719,9890,15
L,S,28720,9886,3
L,S,28721,9884,11
L,S,28722,9887,26
C,23906
L,S,28724,9883,42
L,B,28725,9885,11
C,28297
L,B,28727,9894,13
C,25660
L,S,28729,9894,40
L,S,28730,9905,40
C,25106
M,S,28732,4
L,B,28733,9885,2
L,S,28734,9884,45
L,B,28735,9893,49
L,B,28736,9896,4
M,S,28737,23
L,S,28738,9891,24
L,B,28739,9900,40
L,S,28740,9904,23
M,B,28741,9
C,25495
L,B,28743,9894,43
L,B,28744,9891,49
L,B,28745,9900,22
L,S,28746,9887,19
L,S,28747,9884,24
L,S,28748,9898,17
L,B,28749,9898,9
L,S,28750,9899,16
M,S,28751,55
L,B,28752,9891,32
L,B,28753,9908,19
C,25121
M,S,28755,12
L,S,28756,9902,26
L,S,28757,9907,32
L,B,28758,9901,46
L,S,28759,9905,31
L,B,28760,9890,10
C,26413
L,S,28762,9897,17
L,S,28763,9904,42
L,B,28764,9895,6
L,B,28765,9900,36
L,B,28766,9902,16
L,S,28767,9908,48
M,B,28768,53
L,B,28769,9908,14
L,S,28770,9891,49
L,B,28771,9907,45
L,S,28772,9894,6
L,S,28773,9897,42
L,S,28774,9903,38
L,B,28775,9905,49
L,B,28776,9896,1
L,S,28777,9906,38
M,B,28778,57
L,B,28779,9907,5
C,25505
L,S,28781,9900,35
M,B,28782,52
C,25725
L,B,28784,9894,24
L,S,28785,9920,35
L,B,28786,9903,15
L,B,28787,9915,38
L,B,28788,9909,8
L,S,28789,9919,35
L,S,28790,9907,22
L,S,28791,9909,3
L,B,28792,9910,40
L,S,28793,9912,35
L,S,28794,9906,5
M,S,28795,58
L,B,28796,9909,46
L,B,28797,9901,10
C,28291
L,S,28799,9925,27
L,S,28800,9901,26
L,B,28801,9920,17
C,24141
M,S,28803,53
L,S,28804,9903,6
L,S,28805,9904,40
L,B,28806,9897,3
L,S,28807,9906,29
L,B,28808,9913,40
L,S,28809,9901,39
L,B,28810,9909,50
L,S,28811,9907,16
M,S,28812,28
C,25759
L,S,28814,9910,48
L,B,28815,9907,5
L,S,28816,9907,16
L,B,28817,9909,33
L,S,28818,9893,35
L,B,28819,9906,1
L,B,28820,9909,27
L,B,28821,9911,42
L,S,28822,9901,8
L,B,28823,9900,32
L,S,28824,9896,15
C,24647
L,B,28826,9911,38
L,B,28827,9904,44
L,S,28828,9908,24
L,S,28829,9907,19
L,B,28830,9905,49
L,B,28831,9913,23
C,26616
L,B,28833,9903,12
M,S,28834,7
M,S,28835,14
L,B,28836,9888,40
L,S,28837,9905,15
L,B,28838,9900,19
L,B,28839,9895,40
C,24426
L,S,28841,9910,34
M,B,28842,33
L,B,28843,9902,23
C,23697
M,B,28845,2
M,B,28846,30
C,26135
L,S,28848,9904,32
L,B,28849,9901,19
L,B,28850,9891,32
L,S,28851,9901,4
L,B,28852,9907,28
L,S,28853,9902,30
L,B,28854,9884,2
L,S,28855,9900,27
L,S,28856,9907,22
L,S,28857,9904,39
L,B,28858,9897,47
L,S,28859,9894,40
L,B,28860,9904,11
L,S,28861,9903,47
L,S,28862,9881,41
M,S,28863,31
L,S,28864,9896,14
C,24214
L,B,28866,9911,16
C,28399
L,S,28868,9890,38
L,B,28869,9887,39
L,B,28870,9896,12
L,S,28871,9901,3
L,S,28872,9902,6
L,B,28873,9885,26
L,S,28874,9887,29
L,S,28875,9900,12
L,S,28876,9904,50
L,S,28877,9907,18
L,S,28878,9904,18
M,S,28879,47
L,S,28880,9900,47
L,S,28881,9900,17
L,B,28882,9887,15
C,26494
L,B,28884,9898,11
L,S,28885,9890,41
L,S,28886,9896,24
L,S,28887,9904,42
L,S,28888,9899,35
L,B,28889,9903,41
M,B,28890,49
C,25587
L,S,28892,9902,31
C,27882
L,B,28894,9908,22
L,S,28895,9905,5
L,S,28896,9896,22
C,27408
L,B,28898,9893,31
C,26299
L,B,28900,9903,6
L,S,28901,9908,46
C,27964
L,S,28903,9895,42
C,26024
L,B,28905,9897,11
L,S,28906,9905,13
L,B,28907,9912,37
L,B,28908,9908,7
L,S,28909,9898,27
M,B,28910,29
L,S,28911,9904,44
L,B,28912,9901,20
L,B,28913,9911,5
L,S,28914,9902,17
L,S,28915,9903,21
M,S,28916,46
L,S,28917,9900,43
L,B,28918,9901,27
L,B,28919,9900,21
L,B,28920,9902,25
L,B,28921,9900,11
L,S,28922,9902,17
L,B,28923,9896,18
L,B,28924,9891,48
L,B,28925,9897,31
M,B,28926,26
L,S,28927,9889,50
L,S,28928,9893,13
L,B,28929,9908,24
L,B,28930,9901,49
L,B,28931,9897,2
C,25036
L,B,28933,9909,31
L,B,28934,9897,45
L,S,28935,9879,20
L,B,28936,9902,26
L,S,28937,9892,11
M,B,28938,29
L,S,28939,9902,41
L,S,28940,9904,2
L,S,28941,9898,33
L,B,28942,9897,32
L,B,28943,9897,40
L,S,28944,9897,48
L,S,28945,9901,1
L,S,28946,9902,9
L,B,28947,9898,9
L,S,28948,9912,27
C,25459
C,26983
C,24088
L,B,28952,9896,19
L,S,28953,9900,32
L,B,28954,9902,13
L,S,28955,9907,36
L,S,28956,9902,27
L,B,28957,9905,25
C,26982
M,S,28959,28
L,B,28960,9909,16
M,B,28961,51
L,B,28962,9904,15
L,S,28963,9903,42
L,S,28964,9904,19
C,24592
L,S,28966,9913,48
M,B,28967,21
L,B,28968,9913,49
L,S,28969,9896,29
L,B,28970,9899,27
L,S,28971,9909,48
L,B,28972,9930,29
L,B,28973,9908,31
L,S,28974,9888,41
M,B,28975,40
L,B,28976,9900,13
L,B,28977,9907,8
L,B,28978,9912,9
C,25509
L,B,28980,9905,4
M,S,28981,36
L,S,28982,9908,31
L,S,28983,9919,49
M,B,28984,41
M,B,28985,32
L,B,28986,9907,48
C,24537
L,B,28988,9906,33
L,B,28989,9897,10
L,S,28990,9896,12
L,B,28991,9906,44
M,B,28992,49
L,S,28993,9904,45
L,S,28994,9912,43
L,B,28995,9917,31
L,B,28996,9906,45
L,B,28997,9901,50
L,S,28998,9908,12
M,B,28999,58
C,28101
M,B,29001,11
C,28696
L,S,29003,9908,30
L,S,29004,9909,11
L,B,29005,9905,9
L,S,29006,9921,31
L,B,29007,9921,21
L,S,29008,9908,12
L,B,29009,9911,27
L,S,29010,9908,21
L,S,29011,9910,22
L,B,29012,9912,45
L,B,29013,9901,50
C,28911
M,B,29015,43
L,S,29016,9912,31
L,S,29017,9910,16
L,S,29018,9924,50
L,S,29019,9907,37
L,S,29020,9910,9
L,B,29021,9919,30
L,B,29022,9910,50
L,B,29023,9917,41
L,B,29024,9917,31
L,S,29025,9911,22
L,B,29026,9910,10
L,S,29027,9907,20
L,B,29028,9913,43
L,S,29029,9906,43
L,S,29030,9908,49
L,S,29031,9914,4
L,B,29032,9917,34
L,S,29033,9915,2
L,B,29034,9911,37
L,S,29035,9897,34
L,S,29036,9917,14
L,S,29037,9921,23
L,S,29038,9904,12
L,S,29039,9900,30
L,B,29040,9904,8
M,S,29041,6
L,S,29042,9907,25
L,S,29043,9914,18
C,26438
M,B,29045,44
L,S,29046,9917,8
L,S,29047,9903,29
L,B,29048,9928,27
C,26439
L,B,29050,9919,48
L,S,29051,9915,29
L,S,29052,9911,34
L,B,29053,9919,20
L,S,29054,9918,18
C,25884
L,B,29056,9909,30
L,B,29057,9899,37
L,S,29058,9911,38
L,S,29059,9897,15
L,S,29060,9907,7
L,B,29061,9913,26
L,B,29062,9914,33
L,B,29063,9897,25
C,24623
L,S,29065,9912,9
M,B,29066,36
C,24101
L,S,29068,9902,48
C,26730
M,B,29070,22
L,S,29071,9913,32
L,B,29072,9906,32
L,S,29073,9918,35
L,B,29074,9913,9
L,S,29075,9915,18
L,B,29076,9905,42
L,S,29077,9901,23
L,S,29078,9910,21
L,S,29079,9912,45
C,28537
L,B,29081,9904,38
L,B,29082,9920,42
C,25626
C,26467
L,S,29085,9919,30
L,S,29086,9910,35
L,B,29087,9906,24
L,S,29088,9912,22
L,B,29089,9911,44
L,B,29090,9901,33
M,B,29091,32
L,B,29092,9917,3
L,S,29093,9903,13
L,S,29094,9914,3
L,S,29095,9911,35
L,B,29096,9913,6
L,S,29097,9896,35
L,B,29098,9915,37
C,26013
L,B,29100,9904,34
L,S,29101,9916,9
L,S,29102,9919,33
L,S,29103,9906,50
L,B,29104,9909,9
C,26295
L,S,29106,9917,25
L,S,29107,9905,27
M,S,29108,27
L,B,29109,9919,46
L,S,29110,9907,35
C,28277
L,B,29112,9908,2
M,B,29113,15
L,B,29114,9918,32
L,B,29115,9915,17
M,B,29116,49
L,B,29117,9901,33
L,S,29118,9904,43
L,B,29119,9923,16
C,27889
L,S,29121,9907,30
L,S,29122,9909,49
L,B,29123,9915,28
L,B,29124,9917,13
L,S,29125,9911,21
L,B,29126,9907,22
L,B,29127,9909,18
L,B,29128,9916,27
M,B,29129,16
C,25201
L,S,29131,9908,18
M,B,29132,21
L,B,29133,9913,26
C,25136
L,S,29135,9915,40
L,B,29136,9906,45
L,B,29137,9918,47
L,S,29138,9913,10
L,S,29139,9909,38
L,S,29140,9910,4
L,S,29141,9895,4
C,25084
C,28001
L,S,29144,9925,20
L,S,29145,9920,46
L,B,29146,9913,17
M,S,29147,3
L,S,29148,9920,35
L,B,29149,9900,27
L,S,29150,9929,18
M,S,29151,16
C,26643
L,B,29153,9915,43
L,B,29154,9906,2
C,28166
L,S,29156,9915,50
L,S,29157,9907,1
L,S,29158,9922,44
L,B,29159,9895,16
L,S,29160,9899,33
L,S,29161,9910,50
L,B,29162,9904,22
L,S,29163,9914,50
L,S,29164,9915,29
L,B,29165,9912,16
C,24309
L,S,29167,9907,30
C,26856
L,B,29169,9903,28
L,S,29170,9917,32
L,S,29171,9908,6
L,B,29172,9909,40
L,S,29173,9916,1
L,S,29174,9921,41
C,24057
L,S,29176,9916,42
L,S,29177,9898,6
L,S,29178,9917,13
L,B,29179,9911,1
L,S,29180,9906,33
L,B,29181,9919,46
L,B,29182,9914,21
L,S,29183,9917,42
C,27022
L,B,29185,9916,21
M,S,29186,18
M,B,29187,36
L,B,29188,9919,39
L,B,29189,9920,7
L,B,29190,9909,50
L,S,29191,9906,30
L,B,29192,9913,4
C,24201
L,S,29194,9925,43
M,B,29195,12
L,B,29196,9917,24
L,B,29197,9904,36
L,B,29198,9906,48
L,S,29199,9911,48
L,S,29200,9923,45
L,S,29201,9925,32
C,27920
L,S,29203,9911,47
L,B,29204,9910,42
C,25046
L,B,29206,9913,12
L,S,29207,9923,9
M,B,29208,46
L,S,29209,9898,24
L,B,29210,9909,48
L,B,29211,9922,40
C,26545
L,S,29213,9910,10
C,25377
L,B,29215,9896,3
L,B,29216,9903,3
L,S,29217,9898,10
L,S,29218,9913,5
L,B,29219,9904,26
L,B,29220,9905,27
L,S,29221,9905,29
L,S,29222,9906,18
L,S,29223,9904,7
L,S,29224,9917,7
L,S,29225,9910,39
L,S,29226,9908,31
L,S,29227,9899,7
L,B,29228,9905,35
L,B,29229,9907,4
L,B,29230,9914,23
L,S,29231,9907,44
C,28382
L,B,29233,9900,16
C,26568
L,S,29235,9907,12
L,B,29236,9917,27
L,S,29237,9900,49
L,S,29238,9908,16
C,28245
C,26818
L,B,29241,9905,1
C,28555
L,B,29243,9893,16
L,B,29244,9912,23
L,S,29245,9915,30
L,B,29246,9909,43
C,26293
L,S,29248,9914,13
L,B,29249,9910,40
L,S,29250,9907,44
L,B,29251,9896,35
L,B,29252,9908,1
L,S,29253,9908,19
L,S,29254,9909,46
L,B,29255,9904,10
L,B,29256,9905,25
C,25619
L,S,29258,9906,29
L,S,29259,9898,27
L,B,29260,9904,19
L,B,29261,9914,17
L,B,29262,9919,18
L,B,29263,9902,27
L,B,29264,9905,4
L,S,29265,9898,40
L,B,29266,9897,36
L,B,29267,9887,46
L,B,29268,9891,17
L,S,29269,9892,45
M,S,29270,33
L,B,29271,9909,30
L,B,29272,9897,1
M,B,29273,55
L,B,29274,9902,3
L,S,29275,9900,9
C,28793
L,S,29277,9915,21
L,B,29278,9904,30
L,B,29279,9911,26
C,28508
L,S,29281,9903,11
L,S,29282,9913,45
C,24726
L,S,29284,9910,1
L,S,29285,9909,37
L,S,29286,9904,14
M,B,29287,51
L,B,29288,9899,5
L,S,29289,9918,5
L,S,29290,9891,17
L,S,29291,9913,44
L,S,29292,9889,3
C,27065
L,B,29294,9917,20
L,B,29295,9908,17
L,S,29296,9900,7
L,S,29297,9901,14
L,S,29298,9902,5
L,S,29299,9919,43
L,S,29300,9907,2
M,S,29301,4
L,S,29302,9901,41
M,B,29303,38
L,S,29304,9908,10
L,B,29305,9906,3
L,S,29306,9921,9
L,B,29307,9895,19
L,B,29308,9911,2
L,B,29309,9928,30
L,S,29310,9914,7
L,B,29311,9902,44
L,B,29312,9925,14
L,B,29313,9912,44
L,S,29314,9927,7
L,S,29315,9917,17
L,S,29316,9903,46
L,B,29317,9918,7
M,S,29318,42
L,B,29319,9912,15
L,B,29320,9922,42
L,S,29321,9920,4
L,S,29322,9918,35
L,S,29323,9914,48
C,26234
L,B,29325,9918,37
L,S,29326,9917,30
L,B,29327,9926,31
L,S,29328,9916,2
C,26066
C,27992
L,B,29331,9916,19
L,B,29332,9906,14
L,B,29333,9911,42
L,B,29334,9912,44
L,B,29335,9917,34
L,S,29336,9915,34
L,B,29337,9906,21
L,B,29338,9907,16
L,B,29339,9915,37
L,B,29340,9927,42
L,S,29341,9922,22
L,S,29342,9918,9
L,B,29343,9904,47
L,S,29344,9916,23
L,S,29345,9921,50
L,S,29346,9912,28
L,S,29347,9906,25
L,B,29348,9909,23
L,S,29349,9916,45
L,B,29350,9937,2
L,B,29351,9922,7
L,S,29352,9911,22
L,S,29353,9917,2
L,S,29354,9909,42
L,B,29355,9901,6
L,S,29356,9904,27
L,S,29357,9914,46
L,B,29358,9908,49
L,S,29359,9921,33
L,B,29360,9914,29
L,B,29361,9912,15
L,S,29362,9930,50
L,S,29363,9900,38
L,B,29364,9914,16
L,S,29365,9913,3
C,28827
L,S,29367,9917,25
L,S,29368,9910,30
L,S,29369,9898,45
